Order ID,Order Date,CustomerName,State,City
B-25926,30-Dec-2018,Dipali,Madhya Pradesh,Indore
B-26074,21-Mar-2018,Bharat,Gujarat,Ahmedabad
B-25627,23-Apr-2018,Hitika,Madhya Pradesh,Indore
B-25940,1-Jun-2018,Vivek,Goa,Goa
B-26047,3-Apr-2018,Ashmi,Madhya Pradesh,Indore
B-26069,17-Mar-2018,Sanskriti,West Bengal,Kolkata
B-26027,20-Feb-2018,Sagar,Nagaland,Kohima
B-25963,19-Jan-2018,Pratiksha,Maharashtra,Mumbai
B-25922,26-Dec-2018,Akshata,Gujarat,Surat
B-25866,16-Nov-2018,Komal,Himachal Pradesh,Simla
B-25607,4-Jun-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25775,9-Aug-2018,Duhita,Haryana,Chandigarh
B-25998,2-Apr-2018,Anmol,Rajasthan,Udaipur
B-26062,15-Mar-2018,Tushina,Goa,Goa
B-25722,17-Jul-2018,Inderpreet,Himachal Pradesh,Simla
B-25776,9-Sep-2018,Mousam,Maharashtra,Mumbai
B-26032,22-Feb-2018,Monisha,Rajasthan,Jaipur
B-25705,30-Jun-2018,Shweta,Madhya Pradesh,Indore
B-25628,24-Apr-2018,Pooja,Bihar,Patna
B-25733,28-Jul-2018,Dhirajendu,Maharashtra,Mumbai
B-25647,5-Mar-2018,Sharda,Kerala ,Thiruvananthapuram
B-25790,23-Sep-2018,Sajal,Bihar,Patna
B-25709,7-Jan-2018,Aakanksha,Madhya Pradesh,Indore
B-25911,15-Dec-2018,Phalguni,Madhya Pradesh,Bhopal
B-25774,9-Jul-2018,Snehal,Punjab,Chandigarh
B-26042,28-Feb-2018,Manish,Himachal Pradesh,Simla
B-25815,10-Oct-2018,Harsh,Nagaland,Kohima
B-25822,18-Oct-2018,Tejas,Karnataka,Bangalore
B-26075,21-Mar-2018,Pearl,Maharashtra,Pune
B-25783,15-Sep-2018,Shivangi,Madhya Pradesh,Indore
B-26046,3-Apr-2018,Nishi,Maharashtra,Mumbai
B-25690,15-Jun-2018,Gunjan,Madhya Pradesh,Indore
B-25706,7-Jan-2018,Swetlana,Goa,Goa
B-25736,31-Jul-2018,Akshat,Maharashtra,Mumbai
B-25720,15-Jul-2018,Namrata,Punjab,Chandigarh
B-25907,12-Nov-2018,Jaydeep,Madhya Pradesh,Bhopal
B-25719,7-Dec-2018,Rashmi,Madhya Pradesh,Indore
B-26013,13-Feb-2018,Jahan,Madhya Pradesh,Bhopal
B-26044,3-Feb-2018,Sanjay,Goa,Goa
B-25649,5-May-2018,Rachna,Haryana,Chandigarh
B-25658,14-May-2018,Shefali,Rajasthan,Jaipur
B-25672,28-May-2018,Akanksha,Andhra Pradesh,Hyderabad
B-25624,22-Apr-2018,Vini,Karnataka,Bangalore
B-25884,28-Nov-2018,Sumeet,Maharashtra,Mumbai
B-25641,27-Apr-2018,Parishi,West Bengal,Kolkata
B-25841,11-Jan-2018,Ashvini,Maharashtra,Mumbai
B-25980,27-Jan-2018,Shweta,Rajasthan,Udaipur
B-26012,13-Feb-2018,Pearl,Maharashtra,Pune
B-26029,20-Feb-2018,Ramesh,Gujarat,Ahmedabad
B-26071,19-Mar-2018,Subhashree,Jammu and Kashmir,Kashmir
B-25646,5-Jan-2018,Sonal,Bihar,Patna
B-25677,6-Feb-2018,Ekta,West Bengal,Kolkata
B-25759,23-Aug-2018,Soumya,Sikkim,Gangtok
B-26059,3-Dec-2018,Rachna,Haryana,Chandigarh
B-25632,25-Apr-2018,Manish,Himachal Pradesh,Simla
B-26079,22-Mar-2018,Hazel,Karnataka,Bangalore
B-25674,28-May-2018,Mahima,Maharashtra,Pune
B-25965,21-Jan-2018,Saloni,West Bengal,Kolkata
B-25732,27-Jul-2018,Anubhaw,Karnataka,Bangalore
B-25834,29-Oct-2018,Ananya,Andhra Pradesh,Hyderabad
B-25784,15-Sep-2018,Rohit,Rajasthan,Jaipur
B-25982,29-Jan-2018,Hemangi,Delhi,Delhi
B-25788,21-Sep-2018,Dinesh,Tamil Nadu,Chennai
B-25742,8-Mar-2018,Ashwin,Goa,Goa
B-26088,26-Mar-2018,Bhavna,Sikkim,Gangtok
B-25707,7-Jan-2018,Shivani,Maharashtra,Mumbai
B-25758,22-Aug-2018,Shubham,Himachal Pradesh,Simla
B-26095,28-Mar-2018,Monisha,Rajasthan,Jaipur
